Code,country_area
ABW,180
AFE,15162038.87
AFG,652860
AFW,9166260
AGO,1246700
ALB,28750
AND,470
ARB,13166234.9
ARE,98647.9
ARG,2780400
ARM,29740
ASM,200
ATG,440
AUS,7741220
AUT,83879
AZE,86600
BDI,27830
BEL,30530
BEN,114760
BFA,274220
BGD,147570
BGR,111000
BHR,785
BHS,13880
BIH,51210
BLR,207610
BLZ,22970
BMU,4290
BOL,1098580
BRA,8515770
BRB,430
BRN,5770
BTN,38390
BWA,581730
CAF,622980
CAN,9879750
CEB,1166811.01
CHE,41290.39
CHI,
CHL,756700
CHN,9600012.9
CIV,322460
CMR,475440
COD,2344860
COG,342000
COL,1140619.05
COM,1861
CPV,4030
CRI,51100
CSS,434990
CUB,109880
CUW,444
CYM,264
CYP,9250
CZE,78871.01
DEU,357590
DJI,23200
DMA,750
DNK,42920
DOM,48670
DZA,2381741
EAP,16313746.42
EAR,34144841.31
EAS,24867732.32
ECA,23233374
ECS,28813553.46
ECU,256370
EGY,1001450
EMU,2760483.761
ERI,121630.327
ESP,505969.891
EST,45340
ETH,1136239.544
EUU,4254345.475
FCS,20755365.87
FIN,338460
FJI,18270
FRA,549086.87
FRO,12959.67
FSM,700
GAB,267670
GBR,243610
GEO,69700
GHA,238530
GIB,10
GIN,245860
GMB,11300
GNB,36130
GNQ,28050
GRC,131960
GRD,340
GRL,410450
GTM,108890
GUM,540
GUY,214970
HIC,37500170.26
HKG,1110
HND,112490
HPC,19801755.87
HRV,88070
HTI,27750
HUN,93030
IBD,73013323.47
IBT,98587726.34
IDA,25574402.87
IDB,4459474
IDN,1916906.77
IDX,21114928.87
IMN,570
IND,3287260
INX,
IRL,70280
IRN,1745150
IRQ,435052
ISL,103000
ISR,22070
ITA,302068
JAM,10990
JOR,89318
JPN,377974
KAZ,2724900
KEN,580370
KGZ,199950
KHM,181040
KIR,810
KNA,260
KOR,100410
KWT,17820
LAC,18473126.05
LAO,236800
LBN,10450
LBR,111370
LBY,1759540
LCA,620
LCN,20424848.05
LDC,20814208.87
LIC,16027447.87
LIE,160
LKA,65610
LMC,25638328.52
LMY,96258586.34
LSO,30360
LTE,45816817.6
LTU,65290
LUX,2590
LVA,64590
MAC,32.9
MAF,50
MAR,446550
MCO,74.92
MDA,33850
MDG,587295
MDV,300
MEA,11385553.9
MEX,1964375
MHL,180
MIC,80231138.47
MKD,25710
MLI,1240190
MLT,320
MMR,676590
MNA,8775231
MNE,13810
MNG,1564115.749
MNP,460
MOZ,799380
MRT,1030700
MUS,2040
MWI,118480
MYS,330241
NAC,19715550
NAM,824290
NCL,18580
NER,1267000
NGA,923770
NIC,130370
NLD,41540
NOR,624499
NPL,147180
NRU,20
NZL,267710
OED,37738492.92
OMN,309500
OSS,2072826
PAK,796100
PAN,75320
PER,1285220
PHL,300000
PLW,460
PNG,462840
POL,312710
PRE,20691221.33
PRI,8870
PRK,120540
PRT,92230
PRY,406752
PSE,6020
PSS,65150
PST,33547709.77
PYF,3471
QAT,11490
ROU,238400
RUS,17098250
RWA,26340
SAS,5135270
SAU,2149690
SDN,1878000
SEN,196710
SGP,728
SLB,28900
SLE,72300
SLV,21040
SMR,60
SOM,637660
SRB,84990
SSA,24327838.87
SSD,646883
SSF,24328298.87
SST,2572966
STP,960
SUR,163820
SVK,49030
SVN,20480
SWE,528860.704
SWZ,17360
SXM,34
SYC,460
SYR,185180
TCA,950
TCD,1284000
TEA,16193026.42
TEC,23872554
TGO,56790
THA,513120
TJK,141380
TKM,488100
TLA,20289366.05
TLS,14870
TMN,8769211
TON,750
TSA,5135270
TSS,24328298.87
TTO,5130
TUN,163610
TUR,785350
TUV,30
TZA,947300
UGA,241550
UKR,603550
UMC,54592809.95
URY,176220
USA,9831510
UZB,448924
VCT,390
VEN,912050
VGB,150
VIR,350
VNM,331340
VUT,12190
WLD,134670806.6
WSM,2840
XKX,
YEM,527970
ZAF,1219090
ZMB,752610
ZWE,390760
