Department,Bolsonaro,Haddad
Acre,77.22,22.78
Alagoas,40.08,59.92
Amap¨¢,50.2,49.8
Amazonas,50.27,49.73
Bahia,27.31,72.69
Cear¨¢,28.89,71.11
Federal District,69.99,30.01
Esp¨ªrito Santo,63.06,36.94
Goi¨¢s,65.52,34.48
Maranh?o,26.74,73.26
Mato Grosso,66.42,33.58
Mato Grosso do Sul,65.22,34.78
Minas Gerais,58.19,41.81
Par¨¢,45.19,54.81
Para¨ªba,35.02,64.98
Paran¨¢,68.43,31.57
Pernambuco,33.5,66.5
Piau¨ª,22.95,77.05
Rio de Janeiro,67.95,32.05
Rio Grande do Norte,36.59,63.41
Rio Grande do Sul,63.24,36.76
Rondonia,72.18,27.82
Roraima,71.55,28.45
Santa Catarina,75.92,24.08
S?o Paulo (state),67.97,32.03
Sergipe,32.46,67.54
Tocantins,48.98,51.02
